Name;Template;Reference;Category
vnd.3gpp.GMOP+xml;application/vnd.3gpp.GMOP+xml;[Frederic_Firmin];Application
vnd.3gpp.gtpc;application/vnd.3gpp.gtpc;[_3GPP][Yang_Yong];Application
vnd.3gpp.interworking-data;application/vnd.3gpp.interworking-data;[Frederic_Firmin];Application
vnd.3gpp.lpp;application/vnd.3gpp.lpp;[_3GPP][Jones_Lu_Yunjie];Application
vnd.3gpp.mc-signalling-ear;application/vnd.3gpp.mc-signalling-ear;[Tim_Woodward];Application
vnd.3gpp.mcdata-affiliation-command+xml;application/vnd.3gpp.mcdata-affiliation-command+xml;[Frederic_Firmin];Application
vnd.3gpp.mcdata-info+xml;application/vnd.3gpp.mcdata-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcdata-msgstore-ctrl-request+xml;application/vnd.3gpp.mcdata-msgstore-ctrl-request+xml;[Kiran_Kapale];Application
vnd.3gpp.mcdata-payload;application/vnd.3gpp.mcdata-payload;[Frederic_Firmin];Application
vnd.3gpp.mcdata-regroup+xml;application/vnd.3gpp.mcdata-regroup+xml;[Kiran_Kapale];Application
vnd.3gpp.mcdata-service-config+xml;application/vnd.3gpp.mcdata-service-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcdata-signalling;application/vnd.3gpp.mcdata-signalling;[Frederic_Firmin];Application
vnd.3gpp.mcdata-ue-config+xml;application/vnd.3gpp.mcdata-ue-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcdata-user-profile+xml;application/vnd.3gpp.mcdata-user-profile+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-affiliation-command+xml;application/vnd.3gpp.mcptt-affiliation-command+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-floor-request+xml;application/vnd.3gpp.mcptt-floor-request+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-info+xml;application/vnd.3gpp.mcptt-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-location-info+xml;application/vnd.3gpp.mcptt-location-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-mbms-usage-info+xml;application/vnd.3gpp.mcptt-mbms-usage-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-service-config+xml;application/vnd.3gpp.mcptt-service-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-signed+xml;application/vnd.3gpp.mcptt-signed+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-ue-config+xml;application/vnd.3gpp.mcptt-ue-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-ue-init-config+xml;application/vnd.3gpp.mcptt-ue-init-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcptt-user-profile+xml;application/vnd.3gpp.mcptt-user-profile+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-affiliation-command+xml;application/vnd.3gpp.mcvideo-affiliation-command+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-affiliation-info+xml (OBSOLETED in favor of application/vnd.3gpp.mcvideo-info+xml);application/vnd.3gpp.mcvideo-affiliation-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-info+xml;application/vnd.3gpp.mcvideo-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-location-info+xml;application/vnd.3gpp.mcvideo-location-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-mbms-usage-info+xml;application/vnd.3gpp.mcvideo-mbms-usage-info+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-service-config+xml;application/vnd.3gpp.mcvideo-service-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-transmission-request+xml;application/vnd.3gpp.mcvideo-transmission-request+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-ue-config+xml;application/vnd.3gpp.mcvideo-ue-config+xml;[Frederic_Firmin];Application
vnd.3gpp.mcvideo-user-profile+xml;application/vnd.3gpp.mcvideo-user-profile+xml;[Frederic_Firmin];Application
vnd.3gpp.mid-call+xml;application/vnd.3gpp.mid-call+xml;[Frederic_Firmin];Application
vnd.3gpp.ngap;application/vnd.3gpp.ngap;[_3GPP][Yang_Yong];Application
vnd.3gpp.pfcp;application/vnd.3gpp.pfcp;[_3GPP][Bruno_Landais];Application
vnd.3gpp.pic-bw-large;application/vnd.3gpp.pic-bw-large;[John_M_Meredith];Application
vnd.3gpp.pic-bw-small;application/vnd.3gpp.pic-bw-small;[John_M_Meredith];Application
vnd.3gpp.pic-bw-var;application/vnd.3gpp.pic-bw-var;[John_M_Meredith];Application
vnd.3gpp-prose-pc3a+xml;application/vnd.3gpp-prose-pc3a+xml;[Haorui_Yang];Application
vnd.3gpp-prose-pc3ach+xml;application/vnd.3gpp-prose-pc3ach+xml;[Haorui_Yang];Application
vnd.3gpp-prose-pc3ch+xml;application/vnd.3gpp-prose-pc3ch+xml;[Frederic_Firmin];Application
vnd.3gpp-prose-pc8+xml;application/vnd.3gpp-prose-pc8+xml;[Haorui_Yang];Application
vnd.3gpp-prose+xml;application/vnd.3gpp-prose+xml;[Frederic_Firmin];Application
vnd.3gpp.s1ap;application/vnd.3gpp.s1ap;[_3GPP][Yang_Yong];Application
vnd.3gpp.sms;application/vnd.3gpp.sms;[John_M_Meredith];Application
vnd.3gpp.sms+xml;application/vnd.3gpp.sms+xml;[Frederic_Firmin];Application
vnd.3gpp.srvcc-ext+xml;application/vnd.3gpp.srvcc-ext+xml;[Frederic_Firmin];Application
vnd.3gpp.SRVCC-info+xml;application/vnd.3gpp.SRVCC-info+xml;[Frederic_Firmin];Application
vnd.3gpp.state-and-event-info+xml;application/vnd.3gpp.state-and-event-info+xml;[Frederic_Firmin];Application
vnd.3gpp.ussd+xml;application/vnd.3gpp.ussd+xml;[Frederic_Firmin];Application
vnd.3gpp-v2x-local-service-information;application/vnd.3gpp-v2x-local-service-information;[Frederic_Firmin];Application
vnd.3gpp2.bcmcsinfo+xml;application/vnd.3gpp2.bcmcsinfo+xml;[AC_Mahendran];Application
vnd.3gpp2.sms;application/vnd.3gpp2.sms;[AC_Mahendran];Application
vnd.3gpp2.tcap;application/vnd.3gpp2.tcap;[AC_Mahendran];Application
vnd.3lightssoftware.imagescal;application/vnd.3lightssoftware.imagescal;[Gus_Asadi];Application
vnd.3M.Post-it-Notes;application/vnd.3M.Post-it-Notes;[Michael_OBrien];Application
vnd.accpac.simply.aso;application/vnd.accpac.simply.aso;[Steve_Leow];Application
vnd.accpac.simply.imp;application/vnd.accpac.simply.imp;[Steve_Leow];Application
vnd.acucobol;application/vnd.acucobol;[Dovid_Lubin];Application
vnd.acucorp;application/vnd.acucorp;[Dovid_Lubin];Application
vnd.adobe.flash.movie;application/vnd.adobe.flash.movie;[Henrik_Andersson];Application
vnd.adobe.formscentral.fcdt;application/vnd.adobe.formscentral.fcdt;[Chris_Solc];Application
vnd.adobe.fxp;application/vnd.adobe.fxp;[Steven_Heintz];Application
vnd.adobe.partial-upload;application/vnd.adobe.partial-upload;[Tapani_Otala];Application
vnd.adobe.xdp+xml;application/vnd.adobe.xdp+xml;[John_Brinkman];Application
vnd.aether.imp;application/vnd.aether.imp;[Jay_Moskowitz];Application
vnd.afpc.afplinedata;application/vnd.afpc.afplinedata;[Jörg_Palmer];Application
vnd.afpc.afplinedata-pagedef;application/vnd.afpc.afplinedata-pagedef;[Jörg_Palmer];Application
vnd.afpc.cmoca-cmresource;application/vnd.afpc.cmoca-cmresource;[Jörg_Palmer];Application
vnd.afpc.foca-charset;application/vnd.afpc.foca-charset;[Jörg_Palmer];Application
vnd.afpc.foca-codedfont;application/vnd.afpc.foca-codedfont;[Jörg_Palmer];Application
vnd.afpc.foca-codepage;application/vnd.afpc.foca-codepage;[Jörg_Palmer];Application
vnd.afpc.modca;application/vnd.afpc.modca;[Jörg_Palmer];Application
vnd.afpc.modca-cmtable;application/vnd.afpc.modca-cmtable;[Jörg_Palmer];Application
vnd.afpc.modca-formdef;application/vnd.afpc.modca-formdef;[Jörg_Palmer];Application
vnd.afpc.modca-mediummap;application/vnd.afpc.modca-mediummap;[Jörg_Palmer];Application
vnd.afpc.modca-objectcontainer;application/vnd.afpc.modca-objectcontainer;[Jörg_Palmer];Application
vnd.afpc.modca-overlay;application/vnd.afpc.modca-overlay;[Jörg_Palmer];Application
vnd.afpc.modca-pagesegment;application/vnd.afpc.modca-pagesegment;[Jörg_Palmer];Application
vnd.age;application/vnd.age;[Filippo_Valsorda];Application
vnd.ah-barcode;application/vnd.ah-barcode;[Katsuhiko_Ichinose];Application
vnd.ahead.space;application/vnd.ahead.space;[Tor_Kristensen];Application
vnd.airzip.filesecure.azf;application/vnd.airzip.filesecure.azf;[Daniel_Mould][Gary_Clueit];Application
vnd.airzip.filesecure.azs;application/vnd.airzip.filesecure.azs;[Daniel_Mould][Gary_Clueit];Application
vnd.amadeus+json;application/vnd.amadeus+json;[Patrick_Brosse];Application
vnd.amazon.mobi8-ebook;application/vnd.amazon.mobi8-ebook;[Kim_Scarborough];Application
vnd.americandynamics.acc;application/vnd.americandynamics.acc;[Gary_Sands];Application
vnd.amiga.ami;application/vnd.amiga.ami;[Kevin_Blumberg];Application
vnd.amundsen.maze+xml;application/vnd.amundsen.maze+xml;[Mike_Amundsen];Application
vnd.android.ota;application/vnd.android.ota;[Greg_Kaiser];Application
vnd.anki;application/vnd.anki;[Kerrick_Staley];Application
vnd.anser-web-certificate-issue-initiation;application/vnd.anser-web-certificate-issue-initiation;[Hiroyoshi_Mori];Application
vnd.antix.game-component;application/vnd.antix.game-component;[Daniel_Shelton];Application
vnd.apache.arrow.file;application/vnd.apache.arrow.file;[Apache_Arrow_Project];Application
vnd.apache.arrow.stream;application/vnd.apache.arrow.stream;[Apache_Arrow_Project];Application
vnd.apache.thrift.binary;application/vnd.apache.thrift.binary;[Roger_Meier];Application
vnd.apache.thrift.compact;application/vnd.apache.thrift.compact;[Roger_Meier];Application
vnd.apache.thrift.json;application/vnd.apache.thrift.json;[Roger_Meier];Application
vnd.apexlang;application/vnd.apexlang;[Fawad_Shaikh];Application
vnd.api+json;application/vnd.api+json;[Steve_Klabnik];Application
vnd.aplextor.warrp+json;application/vnd.aplextor.warrp+json;[Oleg_Uryutin];Application
vnd.apothekende.reservation+json;application/vnd.apothekende.reservation+json;[Adrian_Föder];Application
vnd.apple.installer+xml;application/vnd.apple.installer+xml;[Peter_Bierman];Application
vnd.apple.keynote;application/vnd.apple.keynote;[Manichandra_Sajjanapu];Application
vnd.apple.mpegurl;application/vnd.apple.mpegurl;[RFC8216];Application
vnd.apple.numbers;application/vnd.apple.numbers;[Manichandra_Sajjanapu];Application
vnd.apple.pages;application/vnd.apple.pages;[Manichandra_Sajjanapu];Application
vnd.arastra.swi (OBSOLETED in favor of application/vnd.aristanetworks.swi);application/vnd.arastra.swi;[Bill_Fenner];Application
vnd.aristanetworks.swi;application/vnd.aristanetworks.swi;[Bill_Fenner];Application
vnd.artisan+json;application/vnd.artisan+json;[Brad_Turner];Application
vnd.artsquare;application/vnd.artsquare;[Christopher_Smith];Application
vnd.astraea-software.iota;application/vnd.astraea-software.iota;[Christopher_Snazell];Application
vnd.audiograph;application/vnd.audiograph;[Horia_Cristian_Slusanschi];Application
vnd.autopackage;application/vnd.autopackage;[Mike_Hearn];Application
vnd.avalon+json;application/vnd.avalon+json;[Ben_Hinman];Application
vnd.avistar+xml;application/vnd.avistar+xml;[Vladimir_Vysotsky];Application
vnd.balsamiq.bmml+xml;application/vnd.balsamiq.bmml+xml;[Giacomo_Guilizzoni];Application
vnd.banana-accounting;application/vnd.banana-accounting;[José_Del_Romano];Application
vnd.bbf.usp.error;application/vnd.bbf.usp.error;[Broadband_Forum];Application
vnd.bbf.usp.msg;application/vnd.bbf.usp.msg;[Broadband_Forum];Application
vnd.bbf.usp.msg+json;application/vnd.bbf.usp.msg+json;[Broadband_Forum];Application
vnd.balsamiq.bmpr;application/vnd.balsamiq.bmpr;[Giacomo_Guilizzoni];Application
vnd.bekitzur-stech+json;application/vnd.bekitzur-stech+json;[Jegulsky];Application
vnd.belightsoft.lhzd+zip;application/vnd.belightsoft.lhzd+zip;[Dmytro_Yunchyk];Application
vnd.belightsoft.lhzl+zip;application/vnd.belightsoft.lhzl+zip;[Dmytro_Yunchyk];Application
vnd.bint.med-content;application/vnd.bint.med-content;[Heinz-Peter_Schütz];Application
vnd.biopax.rdf+xml;application/vnd.biopax.rdf+xml;[Pathway_Commons];Application
vnd.blink-idb-value-wrapper;application/vnd.blink-idb-value-wrapper;[Victor_Costan];Application
vnd.blueice.multipass;application/vnd.blueice.multipass;[Thomas_Holmstrom];Application
vnd.bluetooth.ep.oob;application/vnd.bluetooth.ep.oob;[Mike_Foley];Application
vnd.bluetooth.le.oob;application/vnd.bluetooth.le.oob;[Mark_Powell];Application
vnd.bmi;application/vnd.bmi;[Tadashi_Gotoh];Application
vnd.bpf;application/vnd.bpf;[NCGIS][Bryan_Blank];Application
vnd.bpf3;application/vnd.bpf3;[NCGIS][Bryan_Blank];Application
vnd.businessobjects;application/vnd.businessobjects;[Philippe_Imoucha];Application
vnd.byu.uapi+json;application/vnd.byu.uapi+json;[Brent_Moore];Application
vnd.cab-jscript;application/vnd.cab-jscript;[Joerg_Falkenberg];Application
vnd.canon-cpdl;application/vnd.canon-cpdl;[Shin_Muto];Application
vnd.canon-lips;application/vnd.canon-lips;[Shin_Muto];Application
vnd.capasystems-pg+json;application/vnd.capasystems-pg+json;[Yüksel_Aydemir];Application
vnd.cendio.thinlinc.clientconf;application/vnd.cendio.thinlinc.clientconf;[Peter_Astrand];Application
vnd.century-systems.tcp_stream;application/vnd.century-systems.tcp_stream;[Shuji_Fujii];Application
vnd.chemdraw+xml;application/vnd.chemdraw+xml;[Glenn_Howes];Application
vnd.chess-pgn;application/vnd.chess-pgn;[Kim_Scarborough];Application
vnd.chipnuts.karaoke-mmd;application/vnd.chipnuts.karaoke-mmd;[Chunyun_Xiong];Application
vnd.ciedi;application/vnd.ciedi;[Hidekazu_Enjo];Application
vnd.cinderella;application/vnd.cinderella;[Ulrich_Kortenkamp];Application
vnd.cirpack.isdn-ext;application/vnd.cirpack.isdn-ext;[Pascal_Mayeux];Application
vnd.citationstyles.style+xml;application/vnd.citationstyles.style+xml;[Rintze_M._Zelle];Application
vnd.claymore;application/vnd.claymore;[Ray_Simpson];Application
vnd.cloanto.rp9;application/vnd.cloanto.rp9;[Mike_Labatt];Application
vnd.clonk.c4group;application/vnd.clonk.c4group;[Guenther_Brammer];Application
vnd.cluetrust.cartomobile-config;application/vnd.cluetrust.cartomobile-config;[Gaige_Paulsen];Application
vnd.cluetrust.cartomobile-config-pkg;application/vnd.cluetrust.cartomobile-config-pkg;[Gaige_Paulsen];Application
vnd.cncf.helm.chart.content.v1.tar+gzip;application/vnd.cncf.helm.chart.content.v1.tar+gzip;[Andrew_Block];Application
vnd.cncf.helm.chart.provenance.v1.prov;application/vnd.cncf.helm.chart.provenance.v1.prov;[Andrew_Block];Application
vnd.coffeescript;application/vnd.coffeescript;[Devyn_Collier_Johnson];Application
vnd.collabio.xodocuments.document;application/vnd.collabio.xodocuments.document;[Alexey_Meandrov];Application
vnd.collabio.xodocuments.document-template;application/vnd.collabio.xodocuments.document-template;[Alexey_Meandrov];Application
vnd.collabio.xodocuments.presentation;application/vnd.collabio.xodocuments.presentation;[Alexey_Meandrov];Application
vnd.collabio.xodocuments.presentation-template;application/vnd.collabio.xodocuments.presentation-template;[Alexey_Meandrov];Application
vnd.collabio.xodocuments.spreadsheet;application/vnd.collabio.xodocuments.spreadsheet;[Alexey_Meandrov];Application
vnd.collabio.xodocuments.spreadsheet-template;application/vnd.collabio.xodocuments.spreadsheet-template;[Alexey_Meandrov];Application
vnd.collection.doc+json;application/vnd.collection.doc+json;[Irakli_Nadareishvili];Application
vnd.collection+json;application/vnd.collection+json;[Mike_Amundsen];Application
vnd.collection.next+json;application/vnd.collection.next+json;[Ioseb_Dzmanashvili];Application
vnd.comicbook-rar;application/vnd.comicbook-rar;[Kim_Scarborough];Application
vnd.comicbook+zip;application/vnd.comicbook+zip;[Kim_Scarborough];Application
vnd.commerce-battelle;application/vnd.commerce-battelle;[David_Applebaum];Application
vnd.commonspace;application/vnd.commonspace;[Ravinder_Chandhok];Application
vnd.coreos.ignition+json;application/vnd.coreos.ignition+json;[Alex_Crawford];Application
vnd.cosmocaller;application/vnd.cosmocaller;[Steve_Dellutri];Application
vnd.contact.cmsg;application/vnd.contact.cmsg;[Frank_Patz];Application
vnd.crick.clicker;application/vnd.crick.clicker;[Andrew_Burt];Application
vnd.crick.clicker.keyboard;application/vnd.crick.clicker.keyboard;[Andrew_Burt];Application
vnd.crick.clicker.palette;application/vnd.crick.clicker.palette;[Andrew_Burt];Application
vnd.crick.clicker.template;application/vnd.crick.clicker.template;[Andrew_Burt];Application
vnd.crick.clicker.wordbank;application/vnd.crick.clicker.wordbank;[Andrew_Burt];Application
vnd.criticaltools.wbs+xml;application/vnd.criticaltools.wbs+xml;[Jim_Spiller];Application
vnd.cryptii.pipe+json;application/vnd.cryptii.pipe+json;[Fränz_Friederes];Application
vnd.crypto-shade-file;application/vnd.crypto-shade-file;[Connor_Horman];Application
vnd.cryptomator.encrypted;application/vnd.cryptomator.encrypted;[Sebastian_Stenzel];Application
vnd.cryptomator.vault;application/vnd.cryptomator.vault;[Sebastian_Stenzel];Application
vnd.ctc-posml;application/vnd.ctc-posml;[Bayard_Kohlhepp];Application
vnd.ctct.ws+xml;application/vnd.ctct.ws+xml;[Jim_Ancona];Application
vnd.cups-pdf;application/vnd.cups-pdf;[Michael_Sweet];Application
vnd.cups-postscript;application/vnd.cups-postscript;[Michael_Sweet];Application
vnd.cups-ppd;application/vnd.cups-ppd;[Michael_Sweet];Application
vnd.cups-raster;application/vnd.cups-raster;[Michael_Sweet];Application
vnd.cups-raw;application/vnd.cups-raw;[Michael_Sweet];Application
vnd.curl;application/vnd.curl;[Robert_Byrnes];Application
vnd.cyan.dean.root+xml;application/vnd.cyan.dean.root+xml;[Matt_Kern];Application
vnd.cybank;application/vnd.cybank;[Nor_Helmee];Application
vnd.cyclonedx+json;application/vnd.cyclonedx+json;[Patrick_Dwyer];Application
vnd.cyclonedx+xml;application/vnd.cyclonedx+xml;[Patrick_Dwyer];Application
vnd.d2l.coursepackage1p0+zip;application/vnd.d2l.coursepackage1p0+zip;[Viktor_Haag];Application
vnd.d3m-dataset;application/vnd.d3m-dataset;[Mi_Tar];Application
vnd.d3m-problem;application/vnd.d3m-problem;[Mi_Tar];Application
vnd.dart;application/vnd.dart;[Anders_Sandholm];Application
vnd.data-vision.rdz;application/vnd.data-vision.rdz;[James_Fields];Application
vnd.datalog;application/vnd.datalog;[Simon_Johnston];Application
vnd.datapackage+json;application/vnd.datapackage+json;[Paul_Walsh];Application
vnd.dataresource+json;application/vnd.dataresource+json;[Paul_Walsh];Application
vnd.dbf;application/vnd.dbf;[Mi_Tar];Application
vnd.debian.binary-package;application/vnd.debian.binary-package;[Debian_Policy_mailing_list];Application
vnd.dece.data;application/vnd.dece.data;[Michael_A_Dolan];Application
vnd.dece.ttml+xml;application/vnd.dece.ttml+xml;[Michael_A_Dolan];Application
vnd.dece.unspecified;application/vnd.dece.unspecified;[Michael_A_Dolan];Application
vnd.dece.zip;application/vnd.dece.zip;[Michael_A_Dolan];Application
vnd.denovo.fcselayout-link;application/vnd.denovo.fcselayout-link;[Michael_Dixon];Application
vnd.desmume.movie;application/vnd.desmume.movie;[Henrik_Andersson];Application
vnd.dir-bi.plate-dl-nosuffix;application/vnd.dir-bi.plate-dl-nosuffix;[Yamanaka];Application
vnd.dm.delegation+xml;application/vnd.dm.delegation+xml;[Axel_Ferrazzini];Application
vnd.dna;application/vnd.dna;[Meredith_Searcy];Application
vnd.document+json;application/vnd.document+json;[Tom_Christie];Application
vnd.dolby.mobile.1;application/vnd.dolby.mobile.1;[Steve_Hattersley];Application
vnd.dolby.mobile.2;application/vnd.dolby.mobile.2;[Steve_Hattersley];Application
vnd.doremir.scorecloud-binary-document;application/vnd.doremir.scorecloud-binary-document;[Erik_Ronström];Application
vnd.dpgraph;application/vnd.dpgraph;[David_Parker];Application
vnd.dreamfactory;application/vnd.dreamfactory;[William_C._Appleton];Application
vnd.drive+json;application/vnd.drive+json;[Keith_Kester];Application
vnd.dtg.local;application/vnd.dtg.local;[Ali_Teffahi];Application
vnd.dtg.local.flash;application/vnd.dtg.local.flash;[Ali_Teffahi];Application
vnd.dtg.local.html;application/vnd.dtg.local.html;[Ali_Teffahi];Application
vnd.dvb.ait;application/vnd.dvb.ait;[Peter_Siebert][Michael_Lagally];Application
vnd.dvb.dvbisl+xml;application/vnd.dvb.dvbisl+xml;[Emily_DUBS];Application
vnd.dvb.dvbj;application/vnd.dvb.dvbj;[Peter_Siebert][Michael_Lagally];Application
vnd.dvb.esgcontainer;application/vnd.dvb.esgcontainer;[Joerg_Heuer];Application
vnd.dvb.ipdcdftnotifaccess;application/vnd.dvb.ipdcdftnotifaccess;[Roy_Yue];Application
vnd.dvb.ipdcesgaccess;application/vnd.dvb.ipdcesgaccess;[Joerg_Heuer];Application
vnd.dvb.ipdcesgaccess2;application/vnd.dvb.ipdcesgaccess2;[Jerome_Marcon];Application
vnd.dvb.ipdcesgpdd;application/vnd.dvb.ipdcesgpdd;[Jerome_Marcon];Application
vnd.dvb.ipdcroaming;application/vnd.dvb.ipdcroaming;[Yiling_Xu];Application
vnd.dvb.iptv.alfec-base;application/vnd.dvb.iptv.alfec-base;[Jean-Baptiste_Henry];Application
vnd.dvb.iptv.alfec-enhancement;application/vnd.dvb.iptv.alfec-enhancement;[Jean-Baptiste_Henry];Application
vnd.dvb.notif-aggregate-root+xml;application/vnd.dvb.notif-aggregate-root+xml;[Roy_Yue];Application
vnd.dvb.notif-container+xml;application/vnd.dvb.notif-container+xml;[Roy_Yue];Application
vnd.dvb.notif-generic+xml;application/vnd.dvb.notif-generic+xml;[Roy_Yue];Application
vnd.dvb.notif-ia-msglist+xml;application/vnd.dvb.notif-ia-msglist+xml;[Roy_Yue];Application
vnd.dvb.notif-ia-registration-request+xml;application/vnd.dvb.notif-ia-registration-request+xml;[Roy_Yue];Application
vnd.dvb.notif-ia-registration-response+xml;application/vnd.dvb.notif-ia-registration-response+xml;[Roy_Yue];Application
vnd.dvb.notif-init+xml;application/vnd.dvb.notif-init+xml;[Roy_Yue];Application
vnd.dvb.pfr;application/vnd.dvb.pfr;[Peter_Siebert][Michael_Lagally];Application
vnd.dvb.service;application/vnd.dvb.service;[Peter_Siebert][Michael_Lagally];Application
vnd.dxr;application/vnd.dxr;[Michael_Duffy];Application
vnd.dynageo;application/vnd.dynageo;[Roland_Mechling];Application
vnd.dzr;application/vnd.dzr;[Carl_Anderson];Application
vnd.easykaraoke.cdgdownload;application/vnd.easykaraoke.cdgdownload;[Iain_Downs];Application
vnd.ecip.rlp;application/vnd.ecip.rlp;[Wei_Tang];Application
vnd.ecdis-update;application/vnd.ecdis-update;[Gert_Buettgenbach];Application
vnd.eclipse.ditto+json;application/vnd.eclipse.ditto+json;[Eclipse_Ditto_developers];Application
vnd.ecowin.chart;application/vnd.ecowin.chart;[Thomas_Olsson];Application
vnd.ecowin.filerequest;application/vnd.ecowin.filerequest;[Thomas_Olsson];Application
vnd.ecowin.fileupdate;application/vnd.ecowin.fileupdate;[Thomas_Olsson];Application
vnd.ecowin.series;application/vnd.ecowin.series;[Thomas_Olsson];Application
vnd.ecowin.seriesrequest;application/vnd.ecowin.seriesrequest;[Thomas_Olsson];Application
vnd.ecowin.seriesupdate;application/vnd.ecowin.seriesupdate;[Thomas_Olsson];Application
vnd.efi.img;application/vnd.efi.img;[UEFI_Forum][Fu_Siyuan];Application
vnd.efi.iso;application/vnd.efi.iso;[UEFI_Forum][Fu_Siyuan];Application
vnd.emclient.accessrequest+xml;application/vnd.emclient.accessrequest+xml;[Filip_Navara];Application
vnd.enliven;application/vnd.enliven;[Paul_Santinelli_Jr.];Application
vnd.enphase.envoy;application/vnd.enphase.envoy;[Chris_Eich];Application
vnd.eprints.data+xml;application/vnd.eprints.data+xml;[Tim_Brody];Application
vnd.epson.esf;application/vnd.epson.esf;[Shoji_Hoshina];Application
vnd.epson.msf;application/vnd.epson.msf;[Shoji_Hoshina];Application
vnd.epson.quickanime;application/vnd.epson.quickanime;[Yu_Gu];Application
vnd.epson.salt;application/vnd.epson.salt;[Yasuhito_Nagatomo];Application
vnd.epson.ssf;application/vnd.epson.ssf;[Shoji_Hoshina];Application
vnd.ericsson.quickcall;application/vnd.ericsson.quickcall;[Paul_Tidwell];Application
vnd.espass-espass+zip;application/vnd.espass-espass+zip;[Marcus_Ligi_Büschleb];Application
vnd.eszigno3+xml;application/vnd.eszigno3+xml;[Szilveszter_Tóth];Application
vnd.etsi.aoc+xml;application/vnd.etsi.aoc+xml;[Shicheng_Hu];Application
vnd.etsi.asic-s+zip;application/vnd.etsi.asic-s+zip;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.asic-e+zip;application/vnd.etsi.asic-e+zip;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.cug+xml;application/vnd.etsi.cug+xml;[Shicheng_Hu];Application
vnd.etsi.iptvcommand+xml;application/vnd.etsi.iptvcommand+xml;[Shicheng_Hu];Application
vnd.etsi.iptvdiscovery+xml;application/vnd.etsi.iptvdiscovery+xml;[Shicheng_Hu];Application
vnd.etsi.iptvprofile+xml;application/vnd.etsi.iptvprofile+xml;[Shicheng_Hu];Application
vnd.etsi.iptvsad-bc+xml;application/vnd.etsi.iptvsad-bc+xml;[Shicheng_Hu];Application
vnd.etsi.iptvsad-cod+xml;application/vnd.etsi.iptvsad-cod+xml;[Shicheng_Hu];Application
vnd.etsi.iptvsad-npvr+xml;application/vnd.etsi.iptvsad-npvr+xml;[Shicheng_Hu];Application
vnd.etsi.iptvservice+xml;application/vnd.etsi.iptvservice+xml;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.iptvsync+xml;application/vnd.etsi.iptvsync+xml;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.iptvueprofile+xml;application/vnd.etsi.iptvueprofile+xml;[Shicheng_Hu];Application
vnd.etsi.mcid+xml;application/vnd.etsi.mcid+xml;[Shicheng_Hu];Application
vnd.etsi.mheg5;application/vnd.etsi.mheg5;[Miguel_Angel_Reina_Ortega][Ian_Medland];Application
vnd.etsi.overload-control-policy-dataset+xml;application/vnd.etsi.overload-control-policy-dataset+xml;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.pstn+xml;application/vnd.etsi.pstn+xml;[Jiwan_Han][Thomas_Belling];Application
vnd.etsi.sci+xml;application/vnd.etsi.sci+xml;[Shicheng_Hu];Application
vnd.etsi.simservs+xml;application/vnd.etsi.simservs+xml;[Shicheng_Hu];Application
vnd.etsi.timestamp-token;application/vnd.etsi.timestamp-token;[Miguel_Angel_Reina_Ortega];Application
vnd.etsi.tsl+xml;application/vnd.etsi.tsl+xml;[Shicheng_Hu];Application
vnd.etsi.tsl.der;application/vnd.etsi.tsl.der;[Shicheng_Hu];Application
vnd.eu.kasparian.car+json;application/vnd.eu.kasparian.car+json;[Hervé_Kasparian];Application
vnd.eudora.data;application/vnd.eudora.data;[Pete_Resnick];Application
vnd.evolv.ecig.profile;application/vnd.evolv.ecig.profile;[James_Bellinger];Application
vnd.evolv.ecig.settings;application/vnd.evolv.ecig.settings;[James_Bellinger];Application
vnd.evolv.ecig.theme;application/vnd.evolv.ecig.theme;[James_Bellinger];Application
vnd.exstream-empower+zip;application/vnd.exstream-empower+zip;[Bill_Kidwell];Application
vnd.exstream-package;application/vnd.exstream-package;[Bill_Kidwell];Application
