Name;Template;Reference;Category
dicom;application/dicom;[RFC3240];Application
dicom+json;application/dicom+json;[DICOM_Standard_Committee][David_Clunie];Application
dicom+xml;application/dicom+xml;[DICOM_Standard_Committee][David_Clunie];Application
DII;application/DII;[ASAM][Thomas_Thomsen];Application
DIT;application/DIT;[ASAM][Thomas_Thomsen];Application
dns;application/dns;[RFC4027];Application
dns+json;application/dns+json;[RFC8427];Application
dns-message;application/dns-message;[RFC8484];Application
dots+cbor;application/dots+cbor;[RFC9132];Application
dskpp+xml;application/dskpp+xml;[RFC6063];Application
dssc+der;application/dssc+der;[RFC5698];Application
dssc+xml;application/dssc+xml;[RFC5698];Application
dvcs;application/dvcs;[RFC3029];Application
ecmascript (OBSOLETED in favor of text/javascript);application/ecmascript;[RFC4329][RFC9239];Application
EDI-consent;application/EDI-consent;[RFC1767];Application
EDIFACT;application/EDIFACT;[RFC1767];Application
EDI-X12;application/EDI-X12;[RFC1767];Application
efi;application/efi;[UEFI_Forum][Samer_El-Haj-Mahmoud];Application
elm+json;application/elm+json;[HL7][Bryn_Rhodes];Application
elm+xml;application/elm+xml;[HL7][Bryn_Rhodes];Application
EmergencyCallData.cap+xml;application/EmergencyCallData.cap+xml;[RFC8876];Application
EmergencyCallData.Comment+xml;application/EmergencyCallData.Comment+xml;[RFC7852];Application
EmergencyCallData.Control+xml;application/EmergencyCallData.Control+xml;[RFC8147];Application
EmergencyCallData.DeviceInfo+xml;application/EmergencyCallData.DeviceInfo+xml;[RFC7852];Application
EmergencyCallData.eCall.MSD;application/EmergencyCallData.eCall.MSD;[RFC8147];Application
EmergencyCallData.LegacyESN+json;application/EmergencyCallData.LegacyESN+json;[NENA][Randall_Gellens];Application
EmergencyCallData.ProviderInfo+xml;application/EmergencyCallData.ProviderInfo+xml;[RFC7852];Application
EmergencyCallData.ServiceInfo+xml;application/EmergencyCallData.ServiceInfo+xml;[RFC7852];Application
EmergencyCallData.SubscriberInfo+xml;application/EmergencyCallData.SubscriberInfo+xml;[RFC7852];Application
EmergencyCallData.VEDS+xml;application/EmergencyCallData.VEDS+xml;[RFC8148][RFC Errata 6500];Application
emma+xml;application/emma+xml;[W3C][http://www.w3.org/TR/2007/CR-emma-20071211/#media-type-registration][ISO-IEC_JTC1];Application
emotionml+xml;application/emotionml+xml;[W3C][Kazuyuki_Ashimura];Application
encaprtp;application/encaprtp;[RFC6849];Application
epp+xml;application/epp+xml;[RFC5730];Application
epub+zip;application/epub+zip;[W3C][EPUB_3_WG];Application
eshop;application/eshop;[Steve_Katz];Application
example;application/example;[RFC4735];Application
exi;application/exi;[W3C][http://www.w3.org/TR/2009/CR-exi-20091208/#mediaTypeRegistration];Application
expect-ct-report+json;application/expect-ct-report+json;[RFC9163];Application
express;application/express;[ISO-TC_184-SC_4][Dana_Tripp];Application
fastinfoset;application/fastinfoset;[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur];Application
fastsoap;application/fastsoap;[ITU-T_ASN.1_Rapporteur][ISO-IEC_JTC1_SC6_ASN.1_Rapporteur];Application
fdf;application/fdf;[ISO-TC_171-SC_2][Betsy_Fanning];Application
fdt+xml;application/fdt+xml;[RFC6726];Application
fhir+json;application/fhir+json;[HL7][Grahame_Grieve];Application
fhir+xml;application/fhir+xml;[HL7][Grahame_Grieve];Application
fits;application/fits;[RFC4047];Application
flexfec;application/flexfec;[RFC8627];Application
font-sfnt - DEPRECATED in favor of font/sfnt;application/font-sfnt;[Levantovsky][ISO-IEC_JTC1][RFC8081];Application
font-tdpfr;application/font-tdpfr;[RFC3073];Application
font-woff - DEPRECATED in favor of font/woff;application/font-woff;[W3C][RFC8081];Application
framework-attributes+xml;application/framework-attributes+xml;[RFC6230];Application
geo+json;application/geo+json;[RFC7946];Application
geo+json-seq;application/geo+json-seq;[RFC8142];Application
geopackage+sqlite3;application/geopackage+sqlite3;[OGC][Scott_Simmons];Application
geoxacml+xml;application/geoxacml+xml;[OGC][Scott_Simmons];Application
gltf-buffer;application/gltf-buffer;[Khronos][Saurabh_Bhatia];Application
gml+xml;application/gml+xml;[OGC][Clemens_Portele];Application
gzip;application/gzip;[RFC6713];Application
H224;application/H224;[RFC4573];Application
held+xml;application/held+xml;[RFC5985];Application
hl7v2+xml;application/hl7v2+xml;[HL7][Marc_Duteau];Application
http;application/http;[RFC9112];Application
hyperstudio;application/hyperstudio;[Michael_Domino];Application
ibe-key-request+xml;application/ibe-key-request+xml;[RFC5408];Application
ibe-pkg-reply+xml;application/ibe-pkg-reply+xml;[RFC5408];Application
ibe-pp-data;application/ibe-pp-data;[RFC5408];Application
iges;application/iges;[Curtis_Parks];Application
im-iscomposing+xml;application/im-iscomposing+xml;[RFC3994];Application
index;application/index;[RFC2652];Application
index.cmd;application/index.cmd;[RFC2652];Application
index.obj;application/index.obj;[RFC2652];Application
index.response;application/index.response;[RFC2652];Application
index.vnd;application/index.vnd;[RFC2652];Application
inkml+xml;application/inkml+xml;[Kazuyuki_Ashimura];Application
IOTP;application/IOTP;[RFC2935];Application
ipfix;application/ipfix;[RFC5655];Application
ipp;application/ipp;[RFC8010];Application
ISUP;application/ISUP;[RFC3204];Application
its+xml;application/its+xml;[W3C][ITS-IG-W3C];Application
javascript (OBSOLETED in favor of text/javascript);application/javascript;[RFC4329][RFC9239];Application
jf2feed+json;application/jf2feed+json;[W3C][Ivan_Herman];Application
jose;application/jose;[RFC7515];Application
jose+json;application/jose+json;[RFC7515];Application
jrd+json;application/jrd+json;[RFC7033];Application
jscalendar+json;application/jscalendar+json;[RFC8984];Application
json;application/json;[RFC8259];Application
json-patch+json;application/json-patch+json;[RFC6902];Application
json-seq;application/json-seq;[RFC7464];Application
jwk+json;application/jwk+json;[RFC7517];Application
jwk-set+json;application/jwk-set+json;[RFC7517];Application
jwt;application/jwt;[RFC7519];Application
kpml-request+xml;application/kpml-request+xml;[RFC4730];Application
kpml-response+xml;application/kpml-response+xml;[RFC4730];Application
ld+json;application/ld+json;[W3C][Ivan_Herman];Application
lgr+xml;application/lgr+xml;[RFC7940];Application
link-format;application/link-format;[RFC6690];Application
linkset;application/linkset;[RFC9264];Application
linkset+json;application/linkset+json;[RFC9264];Application
load-control+xml;application/load-control+xml;[RFC7200];Application
logout+jwt;application/logout+jwt;[OpenID_Foundation_Artifact_Binding_WG];Application
lost+xml;application/lost+xml;[RFC5222];Application
lostsync+xml;application/lostsync+xml;[RFC6739];Application
lpf+zip;application/lpf+zip;[W3C][Ivan_Herman];Application
LXF;application/LXF;[ASAM][Thomas_Thomsen];Application
mac-binhex40;application/mac-binhex40;[Patrik_Faltstrom];Application
macwriteii;application/macwriteii;[Paul_Lindner];Application
mads+xml;application/mads+xml;[RFC6207];Application
manifest+json;application/manifest+json;[W3C][Marcos_Caceres];Application
marc;application/marc;[RFC2220];Application
marcxml+xml;application/marcxml+xml;[RFC6207];Application
mathematica;application/mathematica;[Wolfram];Application
mathml+xml;application/mathml+xml;[W3C][http://www.w3.org/TR/MathML3/appendixb.html];Application
mathml-content+xml;application/mathml-content+xml;[W3C][http://www.w3.org/TR/MathML3/appendixb.html];Application
mathml-presentation+xml;application/mathml-presentation+xml;[W3C][http://www.w3.org/TR/MathML3/appendixb.html];Application
mbms-associated-procedure-description+xml;application/mbms-associated-procedure-description+xml;[_3GPP];Application
mbms-deregister+xml;application/mbms-deregister+xml;[_3GPP];Application
mbms-envelope+xml;application/mbms-envelope+xml;[_3GPP];Application
mbms-msk-response+xml;application/mbms-msk-response+xml;[_3GPP];Application
mbms-msk+xml;application/mbms-msk+xml;[_3GPP];Application
mbms-protection-description+xml;application/mbms-protection-description+xml;[_3GPP];Application
mbms-reception-report+xml;application/mbms-reception-report+xml;[_3GPP];Application
mbms-register-response+xml;application/mbms-register-response+xml;[_3GPP];Application
mbms-register+xml;application/mbms-register+xml;[_3GPP];Application
mbms-schedule+xml;application/mbms-schedule+xml;[_3GPP][Eric_Turcotte];Application
mbms-user-service-description+xml;application/mbms-user-service-description+xml;[_3GPP];Application
mbox;application/mbox;[RFC4155];Application
media_control+xml;application/media_control+xml;[RFC5168];Application
media-policy-dataset+xml;application/media-policy-dataset+xml;[RFC6796];Application
mediaservercontrol+xml;application/mediaservercontrol+xml;[RFC5022];Application
merge-patch+json;application/merge-patch+json;[RFC7396];Application
metalink4+xml;application/metalink4+xml;[RFC5854];Application
mets+xml;application/mets+xml;[RFC6207];Application
MF4;application/MF4;[ASAM][Thomas_Thomsen];Application
mikey;application/mikey;[RFC3830];Application
mipc;application/mipc;[NCGIS][Bryan_Blank];Application
missing-blocks+cbor-seq;application/missing-blocks+cbor-seq;[RFC9177];Application
mmt-aei+xml;application/mmt-aei+xml;[ATSC];Application
mmt-usd+xml;application/mmt-usd+xml;[ATSC];Application
mods+xml;application/mods+xml;[RFC6207];Application
moss-keys;application/moss-keys;[RFC1848];Application
moss-signature;application/moss-signature;[RFC1848];Application
mosskey-data;application/mosskey-data;[RFC1848];Application
mosskey-request;application/mosskey-request;[RFC1848];Application
mp21;application/mp21;[RFC6381][David_Singer];Application
mp4;application/mp4;[RFC4337][RFC6381];Application
mpeg4-generic;application/mpeg4-generic;[RFC3640];Application
mpeg4-iod;application/mpeg4-iod;[RFC4337];Application
mpeg4-iod-xmt;application/mpeg4-iod-xmt;[RFC4337];Application
mrb-consumer+xml;application/mrb-consumer+xml;[RFC6917];Application
mrb-publish+xml;application/mrb-publish+xml;[RFC6917];Application
msc-ivr+xml;application/msc-ivr+xml;[RFC6231];Application
msc-mixer+xml;application/msc-mixer+xml;[RFC6505];Application
msword;application/msword;[Paul_Lindner];Application
mud+json;application/mud+json;[RFC8520];Application
multipart-core;application/multipart-core;[RFC8710];Application
mxf;application/mxf;[RFC4539];Application
n-quads;application/n-quads;[W3C][Eric_Prudhommeaux];Application
n-triples;application/n-triples;[W3C][Eric_Prudhommeaux];Application
nasdata;application/nasdata;[RFC4707];Application
news-checkgroups;application/news-checkgroups;[RFC5537];Application
news-groupinfo;application/news-groupinfo;[RFC5537];Application
news-transmission;application/news-transmission;[RFC5537];Application
nlsml+xml;application/nlsml+xml;[RFC6787];Application
node;application/node;[Node.js_TSC];Application
nss;application/nss;[Michael_Hammer];Application
oauth-authz-req+jwt;application/oauth-authz-req+jwt;[RFC9101];Application
oblivious-dns-message;application/oblivious-dns-message;[RFC9230];Application
ocsp-request;application/ocsp-request;[RFC6960];Application
ocsp-response;application/ocsp-response;[RFC6960];Application
octet-stream;application/octet-stream;[RFC2045][RFC2046];Application
ODA;application/ODA;[RFC1494];Application
odm+xml;application/odm+xml;[CDISC][Sam_Hume];Application
ODX;application/ODX;[ASAM][Thomas_Thomsen];Application
oebps-package+xml;application/oebps-package+xml;[W3C][EPUB_3_WG];Application
ogg;application/ogg;[RFC5334][RFC7845];Application
opc-nodeset+xml;application/opc-nodeset+xml;[OPC_Foundation];Application
oscore;application/oscore;[RFC8613];Application
oxps;application/oxps;[Ecma_International_Helpdesk];Application
p21;application/p21;[ISO-TC_184-SC_4][Dana_Tripp];Application
p21+zip;application/p21+zip;[ISO-TC_184-SC_4][Dana_Tripp];Application
p2p-overlay+xml;application/p2p-overlay+xml;[RFC6940];Application
parityfec;application/parityfec;[RFC3009];Application
passport;application/passport;[RFC8225];Application
patch-ops-error+xml;application/patch-ops-error+xml;[RFC5261];Application
pdf;application/pdf;[RFC8118];Application
PDX;application/PDX;[ASAM][Thomas_Thomsen];Application
pem-certificate-chain;application/pem-certificate-chain;[RFC8555];Application
pgp-encrypted;application/pgp-encrypted;[RFC3156];Application
pgp-keys;application/pgp-keys;[RFC3156];Application
pgp-signature;application/pgp-signature;[RFC3156];Application
pidf-diff+xml;application/pidf-diff+xml;[RFC5262];Application
pidf+xml;application/pidf+xml;[RFC3863];Application
pkcs10;application/pkcs10;[RFC5967];Application
pkcs7-mime;application/pkcs7-mime;[RFC8551][RFC7114];Application
pkcs7-signature;application/pkcs7-signature;[RFC8551];Application
pkcs8;application/pkcs8;[RFC5958];Application
pkcs8-encrypted;application/pkcs8-encrypted;[RFC8351];Application
pkcs12;application/pkcs12;[IETF];Application
pkix-attr-cert;application/pkix-attr-cert;[RFC5877];Application
pkix-cert;application/pkix-cert;[RFC2585];Application
pkix-crl;application/pkix-crl;[RFC2585];Application
pkix-pkipath;application/pkix-pkipath;[RFC6066];Application
pkixcmp;application/pkixcmp;[RFC2510];Application
pls+xml;application/pls+xml;[RFC4267];Application
poc-settings+xml;application/poc-settings+xml;[RFC4354];Application
postscript;application/postscript;[RFC2045][RFC2046];Application
ppsp-tracker+json;application/ppsp-tracker+json;[RFC7846];Application
problem+json;application/problem+json;[RFC7807];Application
problem+xml;application/problem+xml;[RFC7807];Application
